"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"P001","Internet i comunicacions","WiFi BCN","429172.438","4581714.138","429080.518","4581513.209","2.151828","41.382019","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Calàbria amb carrer Aragó","02","09","Eixample","la Nova Esquerra de l'Eixample","C Calàbria, 161",""
"P001","Internet i comunicacions","WiFi BCN","427535.755","4580996.063","427443.85","4580795.141","2.132342","41.375405","Punt de connexió Barcelona WiFi a la cruïlla del carrer de Sants amb Riera d'Escuder","03","18","Sants-Montjuïc","Sants","C Sants, 213",""
"P001","Internet i comunicacions","WiFi BCN","429510.794","4587208.056","429418.872","4587007.076","2.155233","41.43153","Punt de connexió Barcelona WiFi a la cruïlla del carrer Jerez amb Coïmbra","07","43","Horta-Guinardó","Horta","C Jerez, 2",""
"P001","Internet i comunicacions","WiFi BCN","431627.032","4583985.308","431535.09","4583784.357","2.180924","41.402687","Punt de connexió Barcelona WiFi a la cruïlla del carrer Padilla amb Consell de Cent","02","06","Eixample","la Sagrada Família","C Consell de Cent, 531",""
"P001","Internet i comunicacions","WiFi BCN","428480.9","4583621.326","428388.987","4583420.379","2.143332","41.399135","Punt de connexió Barcelona WiFi a la cruïlla del carrer Via Augusta 171 amb Muntaner","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","Via Augusta, 168",""
"P001","Internet i comunicacions","WiFi BCN","426370.5","4583621.707","426278.606","4583420.761","2.118089","41.398947","Punt de connexió Barcelona WiFi a l'Avinguda Josep Vicenç Foix 98","05","23","Sarrià-Sant Gervasi","Sarrià","Av J V Foix, 100",""
"P001","Internet i comunicacions","WiFi BCN","431195.394","4582704.844","431103.455","4582503.905","2.175906","41.391117","Punt de connexió Barcelona WiFi a la cruïlla del carrer Girona amb carrer c. d'Ausiàs Marc","02","07","Eixample","la Dreta de l'Eixample","C Girona, 11",""
"P001","Internet i comunicacions","WiFi BCN","431019.05","4583689.129","430927.113","4583488.181","2.173685","41.399967","Punt de connexió Barcelona WiFi a la cruïlla del carrer Nàpols amb l'Avinguda Diagonal","02","05","Eixample","el Fort Pienc","Av Diagonal, 299",""
"P001","Internet i comunicacions","WiFi BCN","429900.428","4581537.11","429808.501","4581336.182","2.160554","41.380488","Punt de connexió Barcelona WiFi a la cruïlla dels carrers Comte d'Urgell amb Floridablanca","02","10","Eixample","Sant Antoni","C Comte d'Urgell, 25",""
"P001","Internet i comunicacions","WiFi BCN","430561.815","4583134.967","430469.882","4582934.024","2.168279","41.394937","Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb Bruc","02","07","Eixample","la Dreta de l'Eixample","C Aragó, 309",""
